date_time,total_km
2013-06-21 00:00:00,0.9131
2013-12-15 00:00:00,0.9856
2014-06-30 00:00:00,0.9022
2014-12-25 00:00:00,0.9622
2015-06-23 00:00:00,0.9538
2015-12-31 00:00:00,0.9829
2016-06-27 00:00:00,0.9062
2016-12-30 00:00:00,0.9457
2017-06-28 00:00:00,0.9587
2017-12-27 00:00:00,0.9259
2018-06-29 00:00:00,0.967
2018-12-01 00:00:00,0.69
